WARNING | 2021-12-08 21:43:48,780 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_srp_4096_group_prime
WARNING | 2021-12-08 21:43:48,780 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_malloc
WARNING | 2021-12-08 21:43:48,780 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_free
WARNING | 2021-12-08 21:43:48,780 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_srp_1024_group_generator
WARNING | 2021-12-08 21:43:48,780 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_srp_4096_group_generator
WARNING | 2021-12-08 21:43:48,780 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_srp_2048_group_generator
WARNING | 2021-12-08 21:43:48,781 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_srp_1536_group_generator
WARNING | 2021-12-08 21:43:48,781 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_srp_3072_group_prime
WARNING | 2021-12-08 21:43:48,781 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_srp_3072_group_generator
WARNING | 2021-12-08 21:43:48,781 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_srp_1536_group_prime
WARNING | 2021-12-08 21:43:48,781 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_srp_1024_group_prime
WARNING | 2021-12-08 21:43:48,781 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_srp_2048_group_prime
WARNING | 2021-12-08 21:43:48,792 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
Killed
