WARNING | 2021-12-09 02:01:51,659 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: nettle_sha3_224
WARNING | 2021-12-09 02:01:51,659 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: nettle_gcm_aes256
WARNING | 2021-12-09 02:01:51,660 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: nettle_sha512_256
WARNING | 2021-12-09 02:01:51,660 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: nettle_aes256
WARNING | 2021-12-09 02:01:51,660 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: nettle_camellia128
WARNING | 2021-12-09 02:01:51,660 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: nettle_sha3_384
WARNING | 2021-12-09 02:01:51,660 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: nettle_md5
WARNING | 2021-12-09 02:01:51,660 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: nettle_aes192
WARNING | 2021-12-09 02:01:51,660 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: nettle_sha3_256
WARNING | 2021-12-09 02:01:51,660 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: nettle_sha384
WARNING | 2021-12-09 02:01:51,660 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: nettle_chacha_poly1305
WARNING | 2021-12-09 02:01:51,661 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: nettle_aes128
WARNING | 2021-12-09 02:01:51,661 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: nettle_gcm_camellia128
WARNING | 2021-12-09 02:01:51,661 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: nettle_sha1
WARNING | 2021-12-09 02:01:51,661 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: nettle_serpent256
WARNING | 2021-12-09 02:01:51,661 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: nettle_sha3_512
WARNING | 2021-12-09 02:01:51,661 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: nettle_twofish192
WARNING | 2021-12-09 02:01:51,661 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: nettle_sha512_224
WARNING | 2021-12-09 02:01:51,661 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: nettle_md4
WARNING | 2021-12-09 02:01:51,661 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: nettle_gcm_aes192
WARNING | 2021-12-09 02:01:51,661 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: nettle_sha256
WARNING | 2021-12-09 02:01:51,661 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: nettle_gcm_camellia256
WARNING | 2021-12-09 02:01:51,662 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: nettle_camellia256
WARNING | 2021-12-09 02:01:51,662 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: nettle_gcm_aes128
WARNING | 2021-12-09 02:01:51,662 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: nettle_camellia192
WARNING | 2021-12-09 02:01:51,662 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: nettle_sha224
WARNING | 2021-12-09 02:01:51,662 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: nettle_gosthash94
WARNING | 2021-12-09 02:01:51,662 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: nettle_cast128
WARNING | 2021-12-09 02:01:51,662 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: nettle_twofish256
WARNING | 2021-12-09 02:01:51,662 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: nettle_sha512
WARNING | 2021-12-09 02:01:51,662 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: nettle_twofish128
WARNING | 2021-12-09 02:01:51,662 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: nettle_md2
WARNING | 2021-12-09 02:01:51,662 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: nettle_eax_aes128
WARNING | 2021-12-09 02:01:51,663 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: nettle_ripemd160
WARNING | 2021-12-09 02:01:51,665 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
